Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	e9f8587b-91b2-4e29-905d-53c4f8dfa74e	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	12.74	3.438	28.25	19.5165	0.932	6.6939	5.5	0.4238	2.3498	270.2321	0.96	4.9956	0.9612	4.0344	10.3563	1190.9725	2.5768	15.2245	5.003	10.2215	1.7379	199.8639	0.5011	3.0292	0.5908	2.4385	0.5122	58.9087	0.6176	2.1764	0	2.1764	0.1222	14.0488	0.3842	2.681	0	2.681	5.919	680.6842	3.5769	15.093	0	15.093	16.9352	1947.5442	3.0088	24.3647	7.4715	16.8933	57	27.8039	0.9266	9.3514	7.5	0.454	1.685	1.016	4.9956	0.0001	6.5797	4.3073	15.2245	0.8963	1.5958	0.6457	4.3592	0.3536	0.6292	0.6275	2.5611	0	0.1846	0.4506	2.681	0	3.3516	3.7026	15.093	0	14.8984	3.457	24.3647	6.728	1.0202	0.5103	2.7072	0.0001	2.8031	1.3613	6.6279	0.8963	1.4537	0.7388	4.3592	0.3536	0.7461	0.618	2.5611	0	0.2471	0.5025	1.9999	0	0.7842	1.2027	4.7618	0	12.8617	2.5658	21.0707	6.728	0.4884
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	04c15517-470a-4ae7-aedc-1459fb88610a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	29.73	2.196	20	19.6228	0.6527	7.9766	4	0.8413	0.3441	28.9055	0.7507	2.8416	0	2.8416	7.6867	645.6849	1.2779	10.2051	4.4836	5.7215	7.4347	624.5143	1.9653	11.6769	3.7542	7.9227	6.0518	508.351	2.5054	11.4741	0.2419	11.2323	0.0113	0.946	0.0942	0.8597	0	0.8597	0.0326	2.7359	0.2647	2.4161	0	2.4161	22.5005	1890.0409	6.7534	37.2007	13.9701	23.2305	40.75	26.8452	0.7106	11.1198	5.4369	0.8821	0.4477	0.8143	3.1793	0	5.8692	2.2824	10.2051	1.7139	6.1334	2.3797	11.6769	1.618	5.6894	2.2515	11.4741	0.2419	0.0057	0.0672	0.8597	0	0.0691	0.4953	4.4174	0	19.9054	5.9864	37.2007	11.9991	0.5551	0.867	3.1793	0	3.9844	1.3853	6.6432	1.7139	4.784	1.9951	10.5776	1.618	5.3136	1.8969	10.4179	1.303	0	0	0	0	0.1069	0.6537	4.4174	0	17.2142	3.4265	29.5111	11.9991	0.4939
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	c1d50251-57ad-4677-bf17-c75a574365e0	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	41.37	2.874	12.25	17.3653	0.5105	6.3661	3.0372	0.9077	0.3195	16.6131	0.4791	1.8754	0	1.8754	10.8746	565.4783	2.8374	17.5425	6.3192	11.2233	4.1208	214.2823	1.9635	7.5762	0.7255	6.8507	5.1815	269.4378	1.6639	9.476	1.9169	7.5591	0.2748	14.2913	0.6838	3.4728	0	3.4728	0	0	0	0	0	0	21.1999	1102.3928	4.0277	32.462	11.4545	21.0075	34.25	23.1692	0.8018	8.5164	6.3248	0.6084	0.1722	0.3619	1.8754	0	8.1287	3.7932	17.5425	1.6339	3.4889	1.9006	7.7156	0.2529	4.6284	2.2266	10.283	0.1016	0.6545	1.3669	6.9244	0	0.0461	0.3351	3.0255	0	20.8642	6.5729	39.5144	7.7782	0.0871	0.2367	1.3185	0	6.5422	3.3512	14.0476	1.6339	3.1238	1.7735	7.7156	0.2529	4.3088	2.4467	10.283	0.1016	0.8739	1.5998	6.9244	0	0.0727	0.4194	3.0255	0	20.6702	7.6841	39.5144	7.7782	0.3588
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	5369c904-74d9-4f6a-b075-7a9c2559069e	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	64.15	3.705	37.75	24.2996	0.8034	9.2151	5.7403	0.746	2.1263	323.2051	1.9349	8.8913	0	8.8913	8.4421	1283.1975	1.7658	13.0555	4.555	8.5005	5.6921	865.1953	1.5979	9.4603	2.5996	6.8607	4.2747	649.7593	2.0221	10.1215	0.3178	9.8037	0.0319	4.8516	0.2061	1.9903	0	1.9903	0.9706	147.5371	2.3758	10.3758	0	10.3758	20.8505	3169.2695	3.4909	29.5267	12.6155	16.9112	79.25	33.2836	0.899	12.851	8	0.7769	1.4735	1.5836	8.8913	0	5.8565	3.0132	13.0555	0.9191	4.7464	1.8798	9.4603	0.9308	4.4075	2.1848	10.8425	0	0.1056	0.7038	8.1588	0	0.4678	1.7103	10.3758	0	19.2119	5.3775	49.1505	9.5192	0.8756	0.7999	3.9521	0	3.489	1.6711	8.3922	0.9191	3.8804	1.6954	8.4924	0.9308	4.5291	2.3233	10.8425	0	0.1732	0.9503	8.1588	0	0.0074	0.0895	1.1523	0	17.7115	6.298	49.1505	9.5192	0.474
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	13f06531-ff95-42f4-ab33-1c4a5d1be1e5	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	77.92	2.695	25.75	18.3867	0.9571	6.1649	5	0.4457	0.4282	45.3927	0.8603	4.3319	0	4.3319	8.3108	880.9415	1.3083	12.484	6.3128	6.1712	5.2794	559.6186	2.0879	11.519	1.8425	9.6766	2.4534	260.0619	2.3536	8.129	0	8.129	4.9017	519.5757	4.5986	15.4824	0	15.4824	0.5724	60.6767	1.3345	5.9134	0	5.9134	33.4831	3549.2061	4.5579	46.9054	23.5087	23.3967	43.25	24.9301	0.8745	8.896	5.5	0.7507	0.2711	0.6995	4.3319	0	7.0289	2.2032	12.484	1.7782	5.8098	2.075	11.6848	1.8425	4.2768	3.0337	10.2382	0	2.977	4.286	15.4824	0	0.3448	1.0712	5.9134	0	29.5565	6.3497	46.9054	17.2186	0.0331	0.139	0.8392	0	5.0877	1.8327	8.2829	1.7782	6.6128	1.7888	11.6848	1.8803	7.0379	1.4388	10.2382	4.4106	0.0624	0.3169	2.4413	0	0	0	0	0	23.6106	3.3307	31.4642	17.2186	0.5651
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	57365ae3-834d-484f-890d-c070c57d590a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	86.66	3.803	35.5	22.6619	0.8687	7.8097	6.4167	0.6514	2.0298	296.3499	1.466	5.3254	0	5.3254	12.7301	1858.5883	2.0534	18.5812	7.2801	11.3011	5.0811	741.8334	1.8247	9.2449	2.1083	7.1367	3.5467	517.8241	2.1386	8.634	0.0099	8.6241	0	0	0	0	0	0	2.6599	388.3459	3.1152	9.4713	0	9.4713	20.6258	3011.3696	3.7505	28.6557	13.7676	14.8882	63.75	29.7821	0.9032	10.0755	8.5	0.3545	1.4891	1.4177	5.3254	0	9.391	4.543	18.5812	1.2371	5.0629	1.7831	9.5224	0.4586	4.2506	2.1422	8.6839	0.0099	0	0	0	0	1.5424	2.6845	9.4713	0	20.1674	3.5951	28.6557	12.0312	0.7906	0.987	4.3982	0	5.0768	2.9617	12.1658	1.2371	5.0395	1.7357	9.5224	0.4586	5.1601	1.7804	8.6839	2.0218	0	0	0	0	0.0985	0.5534	3.9231	0	19.5752	3.3067	27.8533	12.0312	0.5512
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	6ccef77e-df18-4978-a1af-ff04499f8222	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	107.37	2.056	18.5	24.8458	0.3766	10.5625	3.3435	0.9644	0.5051	39.3992	0.834	3.5133	0	3.5133	6.5545	511.2539	1.729	9.467	3.0331	6.4339	6.1368	478.6688	1.5865	9.9229	3.8849	6.0379	3.3941	264.7425	2.5536	8.9284	0.0019	8.9265	0.4465	34.8249	0.7698	2.8825	0	2.8825	1.0532	82.1516	2.1164	8.8542	0	8.8542	32.9597	2570.856	10.7328	54.5395	17.3217	37.2178	47.5	31.6142	0.5972	13.53	5.5	0.919	0.3938	0.7174	3.5133	0	4.3658	2.5911	9.467	0.0057	5.6827	2.1579	10.6727	1.3042	4.804	2.3473	9.7561	0.0019	0.1946	0.5468	2.8825	0	0.4418	1.4454	8.8542	0	26.0475	9.9546	54.5395	15.2307	0.3182	0.6187	2.5243	0	2.8812	1.9462	7.855	0.0057	5.3748	2.4302	10.6727	1.3042	5.7602	1.6103	9.7561	0.7874	0.0237	0.1745	1.7459	0	0.0271	0.2529	2.6838	0	21.3592	5.8504	42.8537	15.2307	0.3823
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	ad6bad16-40dd-48f7-a273-537ff5568b42	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	121.26	2.552	21.5	18.1024	0.8245	7.1199	4.3064	0.7901	0.7907	69.5804	0.9672	3.731	0	3.731	9.0073	792.6454	1.114	10.8751	5.1657	5.7093	5.6226	494.789	0.9739	7.94	3.5717	4.3683	5.1478	453.0077	1.0933	7.2531	2.7441	4.509	0	0	0	0	0	0	0	0	0	0	0	0	17.0488	1500.2961	1.4951	20.6285	13.874	6.7545	42.75	25.4773	0.8276	9.6561	5.5	0.7958	0.5959	0.8471	3.731	0	7.1934	2.7799	11.3934	0.8404	5.6644	1.3369	8.9379	1.4678	5.5303	1.303	9.7545	2.7441	0	0	0	0	0	0	0	0	16.6984	2.2912	21.6154	10.7379	0.3965	0.6506	3.1182	0	5.3373	2.7506	11.3934	0.8404	5.7072	1.6319	8.9379	1.4678	5.9217	1.3877	9.7545	2.9405	0	0	0	0	0	0	0	0	16.3398	2.853	21.6154	10.7379	0.4894
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	75392114-df3a-4f54-9b9c-0a16b04d1f9a	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	129.78	2.291	15.75	14.5276	0.9378	5.2677	3.5	0.7113	1.8953	125.0917	1.3664	5.0973	0	5.0973	8.9283	589.2678	1.1572	11.7897	6.281	5.5087	4.5054	297.3538	1.3156	9.0527	2.5082	6.5445	2.8364	187.2038	2.4163	8.7128	0	8.7128	1.8785	123.9827	2.1957	6.7131	0	6.7131	0.6072	40.0744	1.1206	4.4315	0	4.4315	29.2533	1930.7209	5.1386	38.829	19.1883	19.6408	28.5	20.2659	0.872	7.7645	4.9088	0.7726	1.1565	1.381	5.0973	0	7.4417	2.3784	11.7897	2.0731	5.1336	1.8108	9.3664	0.6507	4.7819	3.1223	11.4244	0	1.0507	1.8856	6.7131	0	0.3396	0.8884	4.4315	0	25.6795	6.2602	38.829	14.4488	0.2187	0.6266	2.725	0	5.555	2.1865	9.4183	2.0731	5.9309	2.0391	9.3664	0.6507	7.2512	1.9515	11.4244	2.8364	0	0	0	0	0	0	0	0	21.1435	4.3297	32.0121	14.4488	0.5387
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	2c68cb22-9f8b-44c4-8af3-aca548c31974	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	140.75	3.685	44.25	32.7003	0.52	12.6047	6.5523	0.8886	1.4956	264.7249	1.3756	4.9349	0	4.9349	10.1217	1791.5448	2.2093	15.3407	5.2509	10.0899	5.04	892.0713	1.5927	10.0958	2.3286	7.7672	3.6365	643.6611	2.067	9.1813	0.012	9.1693	0.0003	0.0565	0.003	0.0333	0	0.0333	1.7142	303.4131	2.685	10.4327	0	10.4327	24.192	4281.9785	5.3572	34.7431	14.2273	20.5158	76	37.2715	0.6875	14.2486	8.9334	0.8022	1.1176	1.3009	4.9349	0	7.6414	3.6705	15.3407	0.0079	5.0696	2.0088	10.6224	0.0013	4.9195	2.3952	9.4503	0.012	0.0002	0.0023	0.0333	0	0.9949	2.206	10.4327	0	22.1241	5.0473	34.7431	14.0644	0.603	0.9847	4.1641	0	4.2643	2.316	10.3672	0.0079	5.1099	2.4715	10.6224	0.0013	6.6663	1.564	9.4503	2.4568	0	0	0	0	0.0155	0.1769	2.0168	0	19.3085	2.7236	29.7147	14.0644	0.5786
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	4d996cdb-6816-4129-b576-f451ca809495	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	164.57	3.618	21.25	20.2342	0.6522	8.1975	3.7302	0.9047	3.6475	313.683	2.1478	8.5498	0	8.5498	8.29	712.9417	1.3209	12.1206	4.4999	7.6207	4.1889	360.2491	1.892	9.0292	1.3987	7.6305	1.1718	100.7731	1.7168	9.2082	0	9.2082	1.2648	108.7691	1.9285	8.5196	0	8.5196	7.4755	642.8973	4.3736	14.0306	0	14.0306	31.9188	2745.0193	5.4004	42.126	19.4533	22.6727	50.5	27.854	0.8179	10.9316	6.7214	0.7392	2.5461	2.0812	8.5498	0	6.3078	2.6378	12.1206	0	4.3509	2.2562	9.3114	0.5894	2.4243	2.7693	9.2082	0	1.8512	2.6836	8.8516	0	6.0307	5.6681	20.463	0	29.5282	7.2797	42.126	14.2755	1.7366	1.6131	5.4986	0	4.8508	2.405	8.9414	0	4.47	2.4914	9.3114	0.5894	3.345	3.0294	8.7044	0	2.2823	3.0616	8.8516	0	4.9688	6.2645	20.463	0	27.771	7.9726	41.1444	14.2755	0.4114
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	a0a78e39-1e04-4c6f-b663-5835c943fda5	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	183.56	2.662	39.75	24.6995	0.8188	9.8295	5.4916	0.8502	1.2028	192.443	0.788	3.2956	0.0519	3.2438	8.2742	1323.8799	1.7223	13.503	4.6978	8.8052	1.2722	203.5593	0.4698	3.3965	0.6449	2.7516	0.7011	112.1784	0.3874	1.7889	0.0005	1.7883	1.0934	174.9426	1.0186	3.9613	0	3.9613	0.6332	101.3158	0.749	3.7908	0	3.7908	16.6027	2656.4326	1.9496	21.0628	11.5622	9.5005	64.5	32.913	0.7482	12.9795	5.9964	0.8903	1.1926	0.7357	3.8785	0.0056	6.0226	3.2752	13.503	0.9585	1.3953	0.5879	3.5449	0.594	1.0388	0.7094	3.7782	0.0005	0.7427	0.9359	3.9613	0	0.4082	0.6593	3.7908	0	16.0415	2.0992	21.0628	9.4012	1.1763	0.6466	3.8785	0.0056	2.4199	1.4126	8.1051	0.9585	1.5923	0.6972	3.5449	0.594	1.5792	0.7722	3.7782	0.3716	0.1817	0.329	1.5022	0	0.0482	0.1538	1.094	0	15.1436	2.025	18.8263	9.4012	0.6025
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	5f513353-4a26-40f5-b0c7-96cd204b2566	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	214.52	1.703	11	14.6134	0.6473	6.2674	2.4599	0.9306	1.3815	60.7874	0.7138	2.9973	0	2.9973	7.3016	321.2709	0.784	8.8831	5.7518	3.1313	5.1826	228.0336	0.8472	6.8236	3.763	3.0606	3.6552	160.8297	0.9764	5.8353	2.2987	3.5366	0	0	0	0	0	0	0	0	0	0	0	0	22.1618	975.1202	2.4332	28.7988	18.637	10.1618	20.25	19.0423	0.7018	7.7549	4	0.8249	0.9165	0.8053	2.9973	0	6.0822	1.6869	8.8831	1.8775	4.884	1.2011	8.0115	2.5647	3.6848	1.0027	6.1084	2.023	0.0474	0.2484	1.6371	0	0	0	0	0	22.3463	2.8079	30.7957	17.2326	0.4407	0.59	2.4227	0	4.8345	1.4304	7.9077	1.8775	4.5784	1.4247	8.0115	2.5647	3.7151	1.0396	6.1084	2.023	0.0959	0.3487	1.6371	0	0	0	0	0	22.535	3.164	30.7957	17.2326	0.5102
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	29b9f576-5b57-4a51-aa8f-003a67972e48	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	222.05	2.372	25	21.6439	0.6706	8.1683	4.5	0.7641	0.1203	12.5126	0.3207	1.4384	0	1.4384	8.7846	913.6031	1.7275	12.675	5.7281	6.9469	5.5342	575.5594	1.5529	9.4361	2.6693	6.7668	2.3559	245.0175	2.889	8.8739	0	8.8739	8.2355	856.4966	5.3794	17.338	0	17.338	0.8965	93.2373	1.5521	6.936	0	6.936	38.5619	4010.4375	6.1784	50.1721	23.6149	26.5571	42.5	27.3891	0.7119	11.0993	5.4981	0.8687	0.1616	0.3709	2.2124	0	6.8552	3.0076	12.675	1.3505	5.3609	1.8437	9.6667	0.9683	3.0817	2.7414	9.7546	0	5.273	5.6453	17.338	0	0.539	1.2792	6.936	0	33.0145	9.7397	50.1721	14.7271	0.2238	0.4308	2.2124	0	3.9472	2.0214	8.2828	1.3505	5.0996	2.1977	9.6667	0.9683	4.1755	2.0851	9.7546	0.0047	0.8076	1.7673	9.4101	0	0.0001	0.0008	0.0062	0	24.6531	8.0074	47.3717	14.7271	0.5792
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	6b24f06f-02e6-4b36-86fa-6470080f995f	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	234.16	4.54	56.25	39.042	0.4637	12.6836	9.2974	0.8373	0.6583	150.7441	0.9322	5.5064	0	5.5064	9.5943	2197.093	2.2834	15.2101	3.6246	11.5854	6.858	1570.4844	2.6066	13.5058	2.7178	10.7881	5.2051	1191.9764	3.022	10.9026	0	10.9026	0.6479	148.3797	1.8147	10.1787	0	10.1787	0.4243	97.1642	1.2862	8.2987	0	8.2987	22.1807	5079.3853	7.2254	39.0837	14.3374	24.7463	115	45.0399	0.7124	15.3376	11.5	0.6353	0.6478	0.9422	5.5064	0	6.3957	3.8291	15.2101	0.7248	5.8617	2.671	13.5058	1.6097	5.1051	2.615	11.051	0	0.471	1.6736	11.2506	0	0.2728	1.074	8.2987	0	20.3731	6.112	39.394	12.751	0.6375	0.9539	5.1006	0	3.252	1.9964	8.9494	0.7248	4.8825	2.3573	11.2551	1.6097	5.0068	2.1431	11.051	0	0.2971	1.5059	11.2506	0	0.124	0.7882	6.5203	0	18.5964	4.0656	39.394	12.751	0.4857
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	86935a56-f9be-4c03-bc68-fb13f54ed2a3	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	265.22	2.608	25	26.9637	0.4321	9.6079	4.9408	0.8911	0.6104	61.6517	0.7971	3.3312	0	3.3312	7.9529	803.2399	1.7082	12.7809	4.2196	8.5613	1.89	190.8866	1.4242	5.6556	0.0659	5.5897	0.4388	44.3233	1.2062	5.8989	0	5.8989	12.0559	1217.6418	7.2139	28.5444	0.0077	28.5367	7.751	782.8462	5.747	19.5922	0	19.5922	35.0336	3538.3936	5.8316	48.7318	18.6551	30.0767	56.25	31.4631	0.7141	12.5507	6.5	0.822	0.8262	0.9116	4.1941	0	5.3906	2.8914	12.7809	1.2452	1.8978	1.201	5.6556	0.0002	1.2727	1.7855	8.5959	0	8.5125	8.5613	31.1901	0	5.2963	6.3892	24.1655	0	30.018	9.121	48.7318	12.8866	0.9965	0.9619	4.1941	0	3.3687	1.8359	7.442	1.2452	1.9039	0.9961	4.8876	0.0002	1.9306	1.8944	8.5959	0	5.7166	8.5292	31.1901	0	3.3595	6.2216	24.1655	0	26.0604	9.3158	47.4996	12.8866	0.418
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	5afe69c5-5356-471c-8a09-bfb6bdb22827	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	286.47	3.153	34.75	21.74	0.9239	8.0032	5.4134	0.7426	1.6835	239.0566	0.7607	3.8737	0.102	3.7717	10.021	1422.9814	1.8922	15.0354	5.8865	9.1489	1.4286	202.8547	0.6545	4.3307	0.6175	3.7132	0.7543	107.1041	0.6511	3.4454	0.0004	3.445	1.4143	200.8284	1.0091	4.9477	0	4.9477	0.7609	108.0466	0.8447	3.9566	0	3.9566	16.3318	2319.114	2.3449	21.5126	8.8176	12.695	65.25	30.2815	0.8942	11.0937	7	0.7627	1.4448	0.7693	3.8737	0	6.7686	3.9253	15.0354	1.1296	1.934	1.2098	7.606	0.4915	1.2767	1.0882	4.9271	0.0004	0.9574	1.0073	4.9477	0	0.4953	0.7741	4.0414	0	17.0861	2.9412	25.456	7.6909	1.167	0.6837	2.855	0	2.9829	1.5666	9.0536	1.1296	2.5224	1.4258	7.606	0.4915	1.8848	1.1775	4.9271	0.1366	0.4255	0.6991	3.4888	0	0.1862	0.5404	4.0414	0	17.9641	3.3091	25.456	7.6909	0.5297
NSB__NUH A2_1_HP_IM3_0_Core[1,5,11,1]_[44614,12789]_component_data.tif - resolution #1	48f68a5d-2abf-416a-b0f0-73f8be4c918d	Ki67 (Opal 620): CD20 (Opal 540)	Ki67 (Opal 620): CD20 (Opal 540)	DAPI	Polygon	330.42	2.295	16.75	20.9215	0.4809	7.1404	4	0.7966	0.204	14.2766	0.5413	2.5879	0	2.5879	8.0586	564.1002	2.0144	12.9864	4.4734	8.513	3.9028	273.1977	2.6575	8.3086	0.1252	8.1835	0.7778	54.4435	1.5512	5.8178	0	5.8178	17.6627	1236.3896	11.6676	40.871	0	40.871	8.1843	572.9017	7.3772	22.4459	0	22.4459	44.2695	3098.8635	5.5956	56.7381	32.97	23.7681	38	24.2772	0.8102	9.1543	5.5	0.7783	0.2223	0.5385	2.5879	0	5.6651	3.105	12.9864	1.2914	4.8391	2.7104	10.244	0.1252	2.4063	2.5963	9.2071	0	10.9791	12.1412	40.871	0	5.1144	7.0476	22.4459	0	38.1087	9.7398	56.7381	19.6728	0.2374	0.5389	2.2136	0	3.694	2.3741	10.5735	1.2914	5.6102	2.517	10.244	0.3616	3.7474	2.5202	9.2071	0	5.4749	9.5156	34.6284	0	2.5862	5.6599	20.6825	0	33.0351	9.5141	51.3893	19.6728	0.4497
