Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: BCL6 (Cy5) mean	Nucleus: BCL6 (Cy5) sum	Nucleus: BCL6 (Cy5) std dev	Nucleus: BCL6 (Cy5) max	Nucleus: BCL6 (Cy5) min	Nucleus: BCL6 (Cy5) range	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: BCL2 (Opal 520) mean	Nucleus: BCL2 (Opal 520) sum	Nucleus: BCL2 (Opal 520) std dev	Nucleus: BCL2 (Opal 520) max	Nucleus: BCL2 (Opal 520) min	Nucleus: BCL2 (Opal 520) range	Nucleus: CD20 (Opal 540) mean	Nucleus: CD20 (Opal 540) sum	Nucleus: CD20 (Opal 540) std dev	Nucleus: CD20 (Opal 540) max	Nucleus: CD20 (Opal 540) min	Nucleus: CD20 (Opal 540) range	Nucleus: MYC (Opal 570) mean	Nucleus: MYC (Opal 570) sum	Nucleus: MYC (Opal 570) std dev	Nucleus: MYC (Opal 570) max	Nucleus: MYC (Opal 570) min	Nucleus: MYC (Opal 570) range	Nucleus: Ki67 (Opal 620) mean	Nucleus: Ki67 (Opal 620) sum	Nucleus: Ki67 (Opal 620) std dev	Nucleus: Ki67 (Opal 620) max	Nucleus: Ki67 (Opal 620) min	Nucleus: Ki67 (Opal 620) range	Nucleus: Autofluorescence mean	Nucleus: Autofluorescence sum	Nucleus: Autofluorescence std dev	Nucleus: Autofluorescence max	Nucleus: Autofluorescence min	Nucleus: Autofluorescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: BCL6 (Cy5) mean	Cell: BCL6 (Cy5) std dev	Cell: BCL6 (Cy5) max	Cell: BCL6 (Cy5) min	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: BCL2 (Opal 520) mean	Cell: BCL2 (Opal 520) std dev	Cell: BCL2 (Opal 520) max	Cell: BCL2 (Opal 520) min	Cell: CD20 (Opal 540) mean	Cell: CD20 (Opal 540) std dev	Cell: CD20 (Opal 540) max	Cell: CD20 (Opal 540) min	Cell: MYC (Opal 570) mean	Cell: MYC (Opal 570) std dev	Cell: MYC (Opal 570) max	Cell: MYC (Opal 570) min	Cell: Ki67 (Opal 620) mean	Cell: Ki67 (Opal 620) std dev	Cell: Ki67 (Opal 620) max	Cell: Ki67 (Opal 620) min	Cell: Autofluorescence mean	Cell: Autofluorescence std dev	Cell: Autofluorescence max	Cell: Autofluorescence min	Cytoplasm: BCL6 (Cy5) mean	Cytoplasm: BCL6 (Cy5) std dev	Cytoplasm: BCL6 (Cy5) max	Cytoplasm: BCL6 (Cy5) min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: BCL2 (Opal 520) mean	Cytoplasm: BCL2 (Opal 520) std dev	Cytoplasm: BCL2 (Opal 520) max	Cytoplasm: BCL2 (Opal 520) min	Cytoplasm: CD20 (Opal 540) mean	Cytoplasm: CD20 (Opal 540) std dev	Cytoplasm: CD20 (Opal 540) max	Cytoplasm: CD20 (Opal 540) min	Cytoplasm: MYC (Opal 570) mean	Cytoplasm: MYC (Opal 570) std dev	Cytoplasm: MYC (Opal 570) max	Cytoplasm: MYC (Opal 570) min	Cytoplasm: Ki67 (Opal 620) mean	Cytoplasm: Ki67 (Opal 620) std dev	Cytoplasm: Ki67 (Opal 620) max	Cytoplasm: Ki67 (Opal 620) min	Cytoplasm: Autofluorescence mean	Cytoplasm: Autofluorescence std dev	Cytoplasm: Autofluorescence max	Cytoplasm: Autofluorescence min	Nucleus/Cell area ratio
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	f578596d-8dad-4f8b-baa6-a36c79991152	PathCellObject		DAPI	Polygon	151.99	2.432	23.25	20.2337	0.7136	7.874	4.1171	0.8111	1.3621	130.7633	0.6466	3.3428	0.0121	3.3307	23.9792	2301.9985	3.5029	33.2448	14.7347	18.5101	1.5221	146.1223	0.5478	3.2923	0.5269	2.7655	2.428	233.0902	0.6459	4.3694	1.2014	3.168	0.4731	45.4148	0.6019	2.3682	0	2.3682	0.1119	10.746	0.3972	2.7993	0	2.7993	13.9274	1337.033	2.5619	18.7088	7.3219	11.387	48.25	28.2629	0.7591	11.0907	5.4529	0.8629	1.4379	0.6131	3.3428	0	16.8949	8.495	33.2448	2.5869	1.6977	0.987	6.5956	0.0505	2.3713	0.8835	5.4444	0.0028	0.5232	0.6652	2.8483	0	0.1195	0.3936	2.7993	0	13.121	2.8889	19.6402	1.5347	1.5107	0.5729	3.1563	0	10.094	5.9146	21.9847	2.5869	1.8662	1.2539	6.5956	0.0505	2.3168	1.0636	5.4444	0.0028	0.5714	0.7206	2.8483	0	0.1268	0.3919	2.0954	0	12.3467	2.984	19.6402	1.5347	0.4586
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	000fca00-cac9-4807-9bc5-383e40d8a09b	PathCellObject		DAPI	Polygon	160.56	5.623	34	26.7692	0.5962	10.0794	5.385	0.853	1.4795	204.1645	0.8175	4.1089	0	4.1089	30.2315	4171.9526	6.8705	41.6441	16.4224	25.2217	1.0802	149.0674	0.638	3.3931	0.1492	3.2438	3.3095	456.7097	0.9576	6.3872	1.045	5.3423	1.1163	154.0545	1.0066	3.8715	0	3.8715	0.1196	16.5074	0.3661	2.7119	0	2.7119	13.7764	1901.1375	2.6764	20.0039	3.9738	16.0301	77	33.4956	0.8624	12.1285	8.3742	0.695	1.5258	0.7949	4.1089	0	19.5172	11.518	41.6441	2.1464	1.0837	0.7091	4.0251	0.0005	2.8915	1.1207	6.3872	0.0039	1.1521	0.9984	5.0395	0	0.2092	0.4867	3.0678	0	12.8324	3.2915	20.9766	2.9893	1.5628	0.7767	3.4089	0	10.9706	5.9944	27.334	2.1464	1.0865	0.763	4.0251	0.0005	2.5581	1.1319	5.9388	0.0039	1.1806	0.9938	5.0395	0	0.2806	0.5555	3.0678	0	12.0795	3.5406	20.9766	2.9893	0.4402
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	5179ee5b-0dd1-45cf-9cf9-edaee31d6a7e	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	170.27	2.371	30.5	24.1033	0.6597	9.6271	4.3793	0.9175	0.7541	92.7567	0.5291	2.1468	0	2.1468	23.966	2947.8201	3.2634	33.4704	17.3349	16.1355	2.9941	368.2779	1.2505	6.1773	0.7842	5.3931	4.3753	538.1663	1.1281	7.4951	2.2433	5.2519	0.1958	24.0804	0.5586	3.3175	0	3.3175	0.0149	1.8365	0.0771	0.6407	0	0.6407	14.2846	1757.0037	1.9388	20.0232	10.6944	9.3288	54.25	30.8572	0.716	12.4636	5.496	0.9052	0.8373	0.8019	3.5258	0	18.5039	7.5878	33.4704	2.9282	2.8554	1.2238	6.4569	0.2818	4.3316	1.4388	8.3693	0.7529	0.2793	0.6089	3.3175	0	0.0143	0.0732	0.6407	0	14.475	2.5222	20.7935	8.4371	0.9439	1.0468	3.5258	0	11.5055	5.5064	25.4504	2.9282	2.6777	1.1713	6.4569	0.2818	4.2755	1.7638	8.3693	0.7529	0.3862	0.6554	2.3459	0	0.0136	0.0683	0.5861	0	14.7189	3.1085	20.7935	8.4371	0.5476
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	33072700-43bb-4f46-9b3e-7090ce00e6b5	PathCellObject		DAPI	Polygon	180.52	3.316	31.5	24.373	0.6664	9.7224	4.6341	0.9026	1.1446	144.2171	0.5251	2.4869	0	2.4869	33.8432	4264.2476	6.9207	45.6181	15.6765	29.9416	1.4753	185.8839	0.8391	3.9005	0	3.9005	3.1565	397.7215	0.8403	5.5246	0.5617	4.9629	0.4063	51.1891	0.6247	2.4809	0	2.4809	0.0869	10.9501	0.3258	2.1998	0	2.1998	15.1546	1909.4854	1.6395	19.7393	9.9157	9.8236	59.5	30.4314	0.8074	11.8764	7.2568	0.8042	1.2872	0.7249	4.7387	0	24.3972	12.1476	45.6181	3.355	1.192	0.8862	4.5815	0	3.2676	0.9678	5.76	0.0102	0.7297	0.8792	3.3376	0	0.1284	0.457	3.1381	0	14.5236	2.5459	20.1884	5.9296	1.442	0.8689	4.7387	0.002	14.137	7.2959	35.3778	3.355	0.8844	0.835	4.5815	0	3.3882	1.0804	5.76	0.0102	1.0809	0.9781	3.3376	0	0.1736	0.5642	3.1381	0	13.8381	3.1228	20.1884	5.9296	0.5195
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	7fdb09df-0d06-4237-9b17-e1106a5766d4	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	189.19	2.868	19.5	16.0413	0.9523	5.6117	4.5	0.4498	2.0284	162.2722	0.6897	3.4545	0.6109	2.8435	25.7966	2063.7251	3.3559	33.8161	16.4219	17.3941	1.1465	91.722	0.4495	2.4078	0.4477	1.9601	0.9683	77.4654	0.6266	2.1944	0	2.1944	0.0285	2.2806	0.0963	0.4956	0	0.4956	9.0774	726.1915	4.7914	16.9871	0	16.9871	16.7817	1342.5355	2.0586	24.7914	13.1094	11.682	36	22.3199	0.9081	8.0577	6.1461	0.6536	1.7197	0.7393	3.4545	0.2675	19.1612	9.0804	33.8161	2.9948	1.1343	0.5083	2.4078	0	1.559	1.0963	6.1156	0	0.3293	0.6542	3.3824	0	5.3774	5.5365	16.9871	0	16.1437	2.3305	24.7914	11.3091	1.3511	0.6215	2.8823	0.2675	11.2384	7.1992	31.2737	2.9948	1.1197	0.5738	2.4012	0	2.2644	1.1227	6.1156	0.2677	0.6885	0.8336	3.3824	0	0.9594	1.9799	10.0687	0	15.382	2.4208	20.8973	11.3091	0.5305
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	f60638d8-9d13-403d-b555-1d31904f3d1d	PathCellObject		DAPI	Polygon	196.75	2.751	15.5	15.2313	0.8396	5.2191	4.1787	0.39	1.2779	83.0636	0.7625	2.7134	0.0044	2.709	21.3092	1385.0957	4.8709	31.5722	12.2821	19.2902	1.5326	99.62	0.6231	2.92	0.1687	2.7513	3.4335	223.175	1.0344	5.6283	1.5778	4.0505	0.2976	19.3446	0.4581	1.7824	0	1.7824	0.0012	0.0767	0.0067	0.043	0	0.043	13.3406	867.1367	1.2674	16.0391	10.3964	5.6426	35.75	23.0733	0.8439	7.8284	6.5	0.2663	1.1055	0.6904	2.7184	0	13.7714	8.1514	31.5722	1.9186	1.3062	0.6826	2.92	0.1205	3.2327	1.2746	6.6247	0.2552	0.523	0.6412	2.7198	0	0.0557	0.227	1.3437	0	13.0759	1.3591	16.0391	9.0463	0.9688	0.5975	2.7184	0	7.7963	4.3911	17.9572	1.9186	1.1268	0.6778	2.5522	0.1205	3.0735	1.423	6.6247	0.2552	0.7016	0.7087	2.7198	0	0.099	0.2976	1.3437	0	12.8661	1.3998	15.9666	9.0463	0.4286
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	cab827e5-f006-430d-bbd3-c2ef047200bb	PathCellObject		DAPI	Polygon	213.88	3.531	21	19.2917	0.7091	6.9144	4.6977	0.7649	1.6014	137.7205	0.4848	2.9015	0.3161	2.5854	17.9862	1546.8136	3.7808	28.124	10.0363	18.0877	0.6474	55.6763	0.3167	1.6851	0.0015	1.6837	2.2458	193.1406	0.6898	4.8669	0.6799	4.187	1.7251	148.3628	0.7421	3.474	0.0149	3.4591	0.1692	14.5511	0.2878	1.1329	0	1.1329	12.888	1108.3682	1.8089	17.2872	9.5934	7.6938	50.5	26.8052	0.8832	9.7701	7	0.5434	1.4299	0.6133	3.4258	0.0076	10.4918	7.2841	28.124	1.5354	0.4519	0.3662	1.6851	0	2.3538	1.0388	6.0852	0.0116	1.8157	0.9106	4.9272	0	0.0852	0.2107	1.1329	0	12.3223	2.366	19.337	7.6693	1.306	0.6663	3.4258	0.0076	5.0756	3.3035	17.0501	1.5354	0.3106	0.3341	1.3155	0	2.4318	1.228	6.0852	0.0116	1.8812	1.0132	4.9272	0	0.0244	0.0909	0.609	0	11.9135	2.6304	19.337	7.6693	0.4107
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	09c33310-7d37-40f8-a0b2-4f8c519f6281	PathCellObject		DAPI	Polygon	244.18	2.345	14.5	14.3972	0.8791	5.484	3.3882	0.7556	1.899	119.6377	0.677	4.3266	0.9578	3.3688	19.5317	1230.4941	4.177	28.7981	9.0586	19.7395	0.8498	53.5387	0.3691	1.7812	0.197	1.5842	1.6344	102.9655	0.4598	2.8907	0.3883	2.5025	0.9274	58.4291	0.716	3.1121	0	3.1121	0.1087	6.8462	0.3372	2.2493	0	2.2493	12.6941	799.7286	2.2259	16.3959	2.0776	14.3184	33.75	21.8595	0.8876	7.7521	5	0.741	2.0299	0.7244	4.3266	0.8364	11.7457	8.2219	28.7981	1.5476	0.6345	0.3768	1.7812	0.0239	1.5169	0.5302	2.9869	0.0057	1.0991	0.7082	3.1427	0	0.1246	0.3922	2.7531	0	11.7762	3.2491	17.8161	1.6131	2.1429	0.7493	4.0186	0.8364	5.0262	3.5922	13.5219	1.5476	0.4487	0.2708	1.1254	0.0239	1.4155	0.568	2.9869	0.0057	1.2472	0.6715	3.1427	0.0011	0.1383	0.436	2.7531	0	10.9841	3.7622	17.8161	1.6131	0.4306
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	ff429551-8e31-4d56-a0c5-7000af977296	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	251.63	2.602	17.75	15.6831	0.9069	5.3344	4.4183	0.3972	2.9545	218.6345	0.8916	4.7817	1.2832	3.4985	21.5928	1597.8678	3.5562	28.8965	12.0961	16.8004	1.4383	106.4306	0.473	2.8023	0.6194	2.183	0.6595	48.8025	0.6582	2.3193	0	2.3193	0.018	1.3302	0.0801	0.4559	0	0.4559	11.0888	820.5698	6.1115	23.1261	0	23.1261	17.6027	1302.6034	2.0885	23.8003	13.2001	10.6002	35	22.4932	0.8693	8.1422	5.5	0.656	2.4007	0.9725	4.7817	0.7872	13.6545	9.0276	28.8965	1.7439	1.0671	0.5845	2.8023	0.0021	0.7536	0.5925	2.3193	0	0.4339	0.6436	2.5035	0	5.9644	6.9184	23.1261	0	15.6436	3.5522	23.8003	7.5261	1.8153	0.6653	4.104	0.7872	5.2625	4.0608	19.3308	1.7439	0.6747	0.4092	1.9997	0.0021	0.8531	0.4997	2.141	0.0096	0.8736	0.6856	2.5035	0	0.5472	1.3222	8.912	0	13.5726	3.615	21.976	7.5261	0.4899
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	bbf8775d-d6ff-4fdc-bdee-4201b8b0dc02	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	273.8	4.061	31.75	27.9899	0.5093	9.4956	6.824	0.7234	3.3842	453.4889	1.6192	7.0036	0.742	6.2617	20.5061	2747.813	5.6067	36.1313	10.2271	25.9042	1.8412	246.7216	0.9143	4.0584	0.1579	3.9005	1.4075	188.6083	0.8112	3.4572	0	3.4572	0.2087	27.9684	0.4038	1.7109	0	1.7109	6.4892	869.5517	4.4639	14.7187	0	14.7187	15.3791	2060.8044	2.8588	21.0038	7.641	13.3629	77	35.4488	0.77	12.9685	8.329	0.7933	2.6104	1.5834	7.1898	0.4418	14.7861	7.1297	36.1313	2.3718	1.7773	1.15	6.2972	0.1579	1.4793	0.8855	5.3401	0	0.4409	0.5754	2.1819	0	3.605	4.1725	14.7187	0	14.285	3.738	27.7623	6.0719	2.0145	1.2699	7.1898	0.4418	10.381	4.6022	22.4808	2.3718	1.7281	1.3034	6.2972	0.3623	1.5345	0.9372	5.3401	0.1064	0.6197	0.6231	2.1819	0	1.3839	2.0423	11.5041	0	13.4424	4.1074	27.7623	6.0719	0.4267
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	86e19b3b-ee63-48e5-bd19-c9e59f9344c6	PathCellObject		DAPI	Polygon	305.72	2.633	25.5	22.0119	0.6614	8.4854	4.24	0.8663	1.43	154.4355	0.4569	3.106	0.4265	2.6794	11.7457	1268.5394	2.0401	18.5841	7.8834	10.7007	0.4055	43.7909	0.2669	1.188	0.0026	1.1854	1.1279	121.811	0.4729	2.1141	0.003	2.1111	3.0469	329.0684	1.0754	7.0147	0.0216	6.9932	0.3456	37.3236	0.4807	1.7761	0	1.7761	13.0825	1412.9094	1.7587	18.2846	9.8811	8.4036	57	30.3594	0.7771	11.9273	6	0.8283	1.4875	0.5831	3.6147	0.3204	8.3459	4.2399	18.5841	1.7499	0.3641	0.2772	1.3465	0	1.2175	0.599	3.9886	0.003	2.6715	1.0971	7.0147	0.0136	0.196	0.3854	1.7761	0	12.2739	2.1332	18.3712	6.2676	1.5385	0.6733	3.6147	0.3204	5.3362	3.3002	14.8103	1.7499	0.3275	0.2821	1.3465	0	1.2968	0.684	3.9886	0.0096	2.3392	1.0089	5.7305	0.0136	0.0635	0.1977	1.1693	0	11.558	2.1855	18.3712	6.2676	0.4495
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	51beeddf-02c3-4524-bbc6-623457256add	Ki67 (Opal 620)	Ki67 (Opal 620)	DAPI	Polygon	315.79	3.635	26.75	20.4405	0.8045	7.9616	4.3295	0.8265	2.0966	220.1385	0.8531	5.0297	0.6917	4.3379	25.2786	2654.2512	5.4499	37.496	12.2379	25.2582	1.3833	145.2501	0.7159	3.8943	0.0942	3.8001	1.8764	197.0262	1.0154	4.7096	0.0034	4.7062	0.5972	62.7097	0.8409	4.2984	0	4.2984	1.2572	132.0073	1.5027	5.7593	0	5.7593	16.2201	1703.1133	3.4168	24.0014	2.1201	21.8813	54.5	27.2656	0.9212	10.0009	6.826	0.723	1.822	0.7726	5.0297	0.0768	15.4904	10.5933	37.496	1.854	1.0534	0.7783	3.8943	0	1.9701	0.928	4.7096	0.0034	1.0586	1.0476	4.2984	0	0.6648	1.2245	5.7593	0	13.601	4.0416	24.0014	2.1201	1.5713	0.5916	3.1455	0.0768	6.5534	4.4349	24.2429	1.854	0.7522	0.7103	2.9606	0	2.0555	0.8356	4.5614	0.174	1.4798	1.0433	3.9867	0	0.1239	0.4492	3.4187	0	11.2096	2.9398	19.2911	3.8824	0.476
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	75a8071e-f4ab-499a-9580-424e3bb98b44	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	361.38	2.637	14.5	15.2511	0.7834	6.1822	3.7369	0.7318	1.4336	87.4476	0.9805	3.3849	0	3.3849	21.358	1302.8365	4.5149	28.45	11.0069	17.443	4.7681	290.8544	1.4366	8.1203	2.0127	6.1076	5.4018	329.5123	1.2013	8.3092	2.7922	5.5171	0.0126	0.7674	0.0891	0.6949	0	0.6949	0	0	0	0	0	0	13.9593	851.5189	0.9813	16.3392	12.094	4.2453	39.5	24.1203	0.8532	9.2196	6	0.7263	1.5032	0.7911	3.3849	0	12.892	8.73	28.45	1.4371	3.4	2.0845	8.7082	0.2959	4.1755	1.9241	8.8724	0.0793	0.3367	0.5908	2.3529	0	0.027	0.1767	1.7407	0	12.773	1.876	16.3392	6.6668	1.5457	0.6512	3.2588	0.0106	7.7278	6.3021	24.6357	1.4371	2.5654	1.9786	8.7082	0.2959	3.4275	1.9017	8.8724	0.0793	0.5345	0.6746	2.3529	0	0.0435	0.223	1.7407	0	12.0493	1.9257	16.024	6.6668	0.3581
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	205cd272-c344-48c9-9d82-decfa76c3a7b	PathCellObject		DAPI	Polygon	446.43	2.773	18.75	16.8794	0.827	6.5341	3.5656	0.829	1.5496	119.3157	0.6604	3.4604	0.4733	2.9871	24.8395	1912.6378	3.9599	34.2422	16.3958	17.8464	0.722	55.592	0.3774	2.1496	0.0024	2.1472	2.362	181.871	0.542	3.6437	1.2698	2.3739	1.1391	87.713	0.7542	2.6141	0	2.6141	0.0776	5.9788	0.2076	1.1073	0	1.1073	12.7476	981.5626	2.0521	17.9818	7.9518	10.03	35.75	22.9932	0.8497	8.2339	6.3174	0.5798	1.5377	0.594	3.4604	0.2722	18.031	8.6118	34.2422	2.1586	0.9473	0.6143	3.7966	0.0024	2.519	0.933	5.8572	0.7911	1.1796	0.8297	2.9669	0	0.0826	0.2243	1.3638	0	12.454	1.9581	17.9818	7.6492	1.5247	0.5156	2.719	0.2722	10.5417	5.5696	21.935	2.1586	1.1952	0.7229	3.7966	0.059	2.6917	1.2085	5.8572	0.7911	1.2241	0.9089	2.9669	0	0.0881	0.2427	1.3638	0	12.131	1.809	16.9382	7.6492	0.4853
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	6bf9c221-77ad-42c4-9f4e-45f2980e9661	CD20 (Opal 540)	CD20 (Opal 540)	DAPI	Polygon	479.99	2.154	16	15.6192	0.8242	5.9476	3.4275	0.7985	0.6036	39.8357	0.5891	2.1293	0	2.1293	27.4281	1810.2516	5.7979	39.4797	14.881	24.5987	5.7524	379.6602	1.8832	9.5837	3.1648	6.419	5.5944	369.2289	1.3443	10.6167	3.4419	7.1748	0	0	0	0	0	0	0	0	0	0	0	0	14.2703	941.8399	1.8077	19.413	10.4477	8.9653	36	23.9769	0.7869	9.3604	5	0.8005	1.1452	1.0729	5.7914	0	15.3395	11.833	39.4797	1.9695	4.6601	2.2904	10.2195	0.974	4.667	1.7722	10.6167	1.7931	0.1656	0.3901	1.7618	0	0	0.0003	0.0034	0	12.2871	2.8956	19.413	5.8748	1.5811	1.1744	5.7914	0	5.6097	3.4969	16.6464	1.9695	3.7809	2.2181	10.2195	0.974	3.9205	1.7277	8.2423	1.7931	0.2988	0.4857	1.7618	0	0.0001	0.0004	0.0034	0	10.6908	2.6096	16.8441	5.8748	0.4223
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	8f550cb6-f90f-43e2-8cc5-d753f6088b95	PathCellObject		DAPI	Polygon	531.12	1.682	13.25	13.5994	0.9003	5.1539	2.8936	0.796	1.6361	85.0789	0.6908	3.9404	0.5513	3.3891	30.4541	1583.6138	4.9381	38.9999	14.8516	24.1483	0.4255	22.1248	0.3789	1.843	0.003	1.84	1.9636	102.1096	0.6925	3.9143	0.007	3.9073	0.8042	41.8182	0.7813	2.7505	0	2.7505	0.5699	29.6364	0.8683	4.2004	0	4.2004	16.8563	876.5289	2.0766	19.9423	10.69	9.2523	25.75	21.2155	0.7189	8.5856	4.1923	0.8975	1.3981	0.6433	3.9404	0.2737	19.1761	12.5656	38.9999	1.2186	0.4661	0.4856	2.3139	0	2.1474	0.905	4.1483	0.007	1.2095	1.0391	3.736	0	0.3202	0.6695	4.2004	0	14.2141	3.8131	20.5456	6.4401	1.173	0.5054	3.5751	0.2737	8.5132	6.9734	27.0151	1.2186	0.5044	0.5693	2.3139	0	2.3212	1.0447	4.1483	0.4359	1.5927	1.1114	3.736	0	0.0842	0.2257	1.4407	0	11.7159	3.3748	20.5456	6.4401	0.4581
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	28c81398-f286-4b05-aff8-8d5294ef691f	PathCellObject		DAPI	Polygon	593.11	7.29	76.5	48.8606	0.4027	16.5671	9.5999	0.8374	1.6362	502.3097	0.7108	3.9349	0.0024	3.9324	33.5025	10285.2725	7.4826	47.1378	8.5867	38.5512	1.4378	441.3958	1.1755	5.7043	0	5.7043	2.8493	874.7356	1.3852	7.0759	0	7.0759	0.4277	131.2888	0.6728	3.3082	0	3.3082	0.1085	33.3151	0.361	2.7578	0	2.7578	13.1899	4049.291	2.8386	20.4555	1.7393	18.7162	148.75	52.2679	0.6842	18.6302	12.3656	0.7916	1.6657	0.8191	5.8488	0.002	21.3464	14.4787	47.1378	1.8072	1.0294	1.0847	5.7043	0	2.7061	1.4557	7.5724	0	0.7848	0.9059	4.0065	0	0.1139	0.3586	2.7915	0	11.932	3.4187	20.4555	1.7393	1.697	0.9202	5.8488	0.002	8.4776	7.063	28.5085	1.8072	0.5971	0.7737	4.796	0	2.5544	1.5143	7.5724	0.0295	1.1629	0.9666	4.0065	0	0.1197	0.3566	2.7915	0	10.6004	3.4802	18.4459	2.6693	0.5153
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	e0c656cf-b3d8-4595-ad8a-6815a9b7651b	PathCellObject		DAPI	Polygon	676.76	2.303	20	19.9761	0.6298	8.7553	3.657	0.8983	1.4326	121.7746	0.7323	3.4165	0	3.4165	28.2995	2405.46	6.973	41.8696	10.9139	30.9557	0.4566	38.8104	0.5129	2.5751	0	2.5751	1.7817	151.4432	0.8189	3.3789	0.0069	3.3721	1.3962	118.6739	1.3439	4.856	0	4.856	0.4702	39.9658	0.9585	3.6799	0	3.6799	12.7403	1082.925	4.8794	21.3473	0.1219	21.2254	48.5	29.5244	0.6992	12.3372	5.4596	0.9093	1.2	0.8193	4.1441	0	14.9744	12.9123	41.8696	1.3373	0.2876	0.4552	2.5751	0	1.8549	1.0406	4.6595	0.0029	1.3557	1.286	5.3023	0	0.3062	0.7833	5.05	0	11.1744	5.7582	21.3473	0.0003	1.0219	0.8406	4.1441	0.0015	4.7704	4.0196	21.6469	1.3373	0.1582	0.3571	2.3747	0	1.9109	1.1834	4.6595	0.0029	1.3248	1.2452	5.3023	0	0.1806	0.5911	5.05	0	9.9753	6.1034	21.2222	0.0003	0.4158
NSB__NUH C2_1_HP_IM3_0_Core[1,8,14,1]_[48994,18978]_component_data.tif - resolution #1	716bae8f-d958-42c5-abf5-ec854f9326b8	PathCellObject		DAPI	Polygon	114.2	3.444	22	22.4001	0.551	8.2928	4.4322	0.8614	1.7532	157.7849	0.8554	4.299	0.7357	3.5633	6.734	606.0598	1.2622	10.0163	4.0041	6.0122	0.2827	25.4391	0.1911	0.7379	0.0005	0.7373	0.7256	65.3076	0.3723	1.7216	0.0016	1.72	1.2287	110.5837	0.6777	3.1446	0.001	3.1436	0.1398	12.5824	0.2645	1.3622	0	1.3622	8.8208	793.8686	2.8438	19.9761	2.5929	17.3832	60.75	29.7878	0.8604	11.4612	7.2811	0.7298	1.4839	0.7984	4.5477	0.3801	5.2809	2.0211	10.0163	0.9499	0.261	0.2176	1.6261	0	0.8466	0.5276	2.8253	0.0016	1.0589	0.6755	3.1446	0	0.0984	0.1975	1.3622	0	8.8624	4.1725	21.5102	2.3874	1.3276	0.7212	4.5477	0.3801	4.4371	1.8977	8.51	0.9499	0.2484	0.2312	1.6261	0	0.9168	0.5895	2.8253	0.0017	0.9603	0.6564	2.4857	0	0.0743	0.1406	0.6243	0	8.8866	4.7863	21.5102	2.3874	0.3789
